player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7.0,7.0,630.0,12.0,1.71,27.0,16.0,55.6,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,10.1,0.38,-0.9,-0.13,41.0,91.0,45.1,156.0,31.0,35.9,37.0,66.0,53.0,43.8,98.0,6.0,6.1,4.0,0.57,11.2
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6.0,6.0,535.0,3.0,0.5,18.0,13.0,83.3,4.0,1.0,1.0,4.0,66.7,1.0,0.0,1.0,0.0,5.9,1.0,0.0,0.0,5.5,0.25,2.5,0.43,14.0,49.0,28.6,172.0,23.0,18.0,25.4,34.0,52.9,41.0,73.0,1.0,1.4,4.0,0.67,17.1
Francesco Rossi,it ITA,GK,Atalanta,32,1991,1.0,0.0,5.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.75,0.8,13.52,0.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,100.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,it ITA,GK,Cagliari,27,1996,31.0,31.0,2789.0,55.0,1.77,129.0,76.0,59.7,8.0,10.0,13.0,3.0,9.7,3.0,3.0,0.0,0.0,31.0,3.0,9.0,2.0,45.1,0.33,-7.9,-0.25,161.0,452.0,35.6,684.0,106.0,43.3,37.1,243.0,64.2,46.9,482.0,22.0,4.6,20.0,0.65,12.1
Marco Silvestri,it ITA,GK,Udinese,32,1991,17.0,17.0,1530.0,28.0,1.65,68.0,40.0,67.6,1.0,11.0,5.0,4.0,23.5,6.0,6.0,0.0,0.0,17.0,0.0,2.0,0.0,25.7,0.29,-2.3,-0.14,57.0,168.0,33.9,345.0,68.0,33.6,32.3,105.0,49.5,42.1,282.0,5.0,1.8,7.0,0.41,13.1
Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32.0,32.0,2880.0,29.0,0.91,106.0,77.0,75.5,14.0,13.0,5.0,13.0,40.6,6.0,3.0,1.0,2.0,32.0,1.0,3.0,1.0,26.6,0.23,-1.4,-0.05,103.0,297.0,34.7,829.0,136.0,26.3,29.6,188.0,42.0,38.7,432.0,12.0,2.8,15.0,0.47,12.2
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,100.0,54.5,1.0,100.0,76.0,2.0,1.0,50.0,0.0,0.0,15.0
Yann Sommer,ch SUI,GK,Inter,34,1988,34.0,34.0,3060.0,19.0,0.56,98.0,78.0,82.7,27.0,6.0,1.0,19.0,55.9,4.0,2.0,1.0,1.0,34.0,0.0,3.0,0.0,25.5,0.23,6.5,0.19,104.0,226.0,46.0,1033.0,120.0,17.4,26.1,201.0,22.9,27.9,395.0,18.0,4.6,14.0,0.41,12.1
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7.0,5.0,548.0,16.0,2.63,32.0,16.0,62.5,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,6.1,0.0,1.0,0.0,14.4,0.34,-1.6,-0.27,18.0,56.0,32.1,151.0,29.0,26.5,30.6,42.0,38.1,36.1,62.0,3.0,4.8,3.0,0.49,16.8
Marco Sportiello,it ITA,GK,Milan,31,1992,7.0,7.0,630.0,11.0,1.57,33.0,23.0,69.7,3.0,3.0,1.0,2.0,28.6,1.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,8.9,0.25,-1.1,-0.15,20.0,51.0,39.2,230.0,40.0,20.4,26.9,17.0,23.5,29.1,81.0,5.0,6.2,9.0,1.29,15.4
Mile Svilar,rs SRB,GK,Roma,23,1999,15.0,15.0,1350.0,19.0,1.27,77.0,58.0,76.6,7.0,4.0,4.0,5.0,33.3,2.0,1.0,1.0,0.0,15.0,0.0,3.0,1.0,20.2,0.24,2.2,0.14,44.0,116.0,37.9,516.0,77.0,15.9,25.3,89.0,38.2,36.2,208.0,16.0,7.7,7.0,0.47,12.0
Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35.0,35.0,3150.0,30.0,0.86,108.0,79.0,74.1,17.0,13.0,5.0,15.0,42.9,3.0,2.0,1.0,0.0,35.0,0.0,4.0,2.0,28.3,0.24,0.3,0.01,147.0,340.0,43.2,828.0,134.0,32.0,32.8,174.0,43.1,40.2,555.0,26.0,4.7,20.0,0.57,11.6
Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33.0,33.0,2970.0,35.0,1.06,126.0,90.0,77.0,15.0,8.0,10.0,8.0,24.2,7.0,6.0,1.0,0.0,33.0,3.0,5.0,0.0,40.2,0.27,5.2,0.16,164.0,382.0,42.9,1051.0,120.0,29.0,32.1,176.0,43.8,38.2,307.0,7.0,2.3,23.0,0.7,14.6
Stefano Turati,it ITA,GK,Frosinone,21,2001,31.0,31.0,2745.0,58.0,1.9,152.0,94.0,65.1,6.0,9.0,16.0,4.0,12.9,7.0,5.0,1.0,1.0,30.5,0.0,10.0,1.0,47.5,0.28,-9.5,-0.31,72.0,316.0,22.8,919.0,147.0,27.3,29.2,144.0,45.1,38.8,412.0,18.0,4.4,19.0,0.62,13.7
