player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alessio Romagnoli,it ITA,DF,Lazio,28,1995,29.0,26.0,2411.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.02,0.02,26.8,5.0,0.0,45.5,0.19,0.0,0.0,0.05,-0.6,-0.6,1604.0,1759.0,91.2,27365.0,9970.0,670.0,703.0,95.3,804.0,849.0,94.7,96.0,153.0,62.7,6.0,82.0,5.0,1.0,87.0,1625.0,128.0,57.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,12.0,0.45,11.0,0.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,25.0,18.0,14.0,11.0,0.0,29.0,17.0,12.0,29.0,115.0,0.0,1995.0,276.0,973.0,992.0,36.0,18.0,1995.0,981.0,7.0,2.0,0.0,1347.0,9.0,0.0,0.0,34.0,19.0,1.0,0.0,0.0,0.0,120.0,76.0,54.0,58.5
Simone Romagnoli,it ITA,DF,Frosinone,33,1990,33.0,30.0,2715.0,1.0,1.0,0.0,0.0,6.0,0.0,0.03,0.03,0.07,0.03,0.07,1.2,1.2,0.04,0.04,30.2,1.0,0.0,8.3,0.03,0.08,1.0,0.1,-0.2,-0.2,1221.0,1421.0,85.9,21605.0,8093.0,481.0,535.0,89.9,636.0,701.0,90.7,80.0,140.0,57.1,3.0,22.0,0.0,0.0,47.0,1256.0,165.0,76.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.27,7.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,35.0,15.0,23.0,11.0,1.0,51.0,36.0,15.0,29.0,147.0,0.0,1733.0,393.0,1076.0,620.0,42.0,23.0,1733.0,706.0,2.0,2.0,0.0,934.0,4.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,0.0,99.0,97.0,78.0,55.4
Luka Romero,ar ARG,"FW,MF",Milan,18,2004,4.0,0.0,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.09,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-0.1,-0.1,33.0,39.0,84.6,434.0,58.0,20.0,22.0,90.9,11.0,13.0,84.6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,37.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,48.0,1.0,8.0,23.0,19.0,2.0,48.0,37.0,4.0,2.0,0.0,35.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Marten de Roon,nl NED,"MF,DF",Atalanta,32,1991,30.0,29.0,2599.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.17,0.17,0.0,0.17,0.6,0.6,0.02,0.02,28.9,3.0,0.0,18.8,0.1,0.0,0.0,0.04,-0.6,-0.6,1446.0,1712.0,84.5,26689.0,8394.0,564.0,630.0,89.5,690.0,779.0,88.6,159.0,239.0,66.5,23.0,147.0,20.0,3.0,178.0,1636.0,74.0,60.0,5.0,22.0,16.0,0.0,0.0,0.0,0.0,13.0,2.0,17.0,54.0,1.87,43.0,5.0,2.0,2.0,7.0,0.24,7.0,0.0,0.0,0.0,0.0,80.0,43.0,36.0,32.0,12.0,36.0,10.0,26.0,40.0,54.0,0.0,1981.0,99.0,589.0,1110.0,294.0,4.0,1981.0,1040.0,28.0,22.0,0.0,1307.0,19.0,8.0,0.0,43.0,24.0,3.0,0.0,1.0,0.0,164.0,35.0,27.0,56.5
Francesco Rossi,it ITA,GK,Atalanta,32,1991,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,14.0,13.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolò Rovella,it ITA,MF,Lazio,21,2001,23.0,16.0,1318.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.14,0.14,0.0,0.14,0.6,0.6,0.04,0.04,14.6,1.0,1.0,20.0,0.07,0.0,0.0,0.12,-0.6,-0.6,851.0,976.0,87.2,14115.0,3415.0,412.0,437.0,94.3,351.0,381.0,92.1,66.0,104.0,63.5,10.0,68.0,5.0,0.0,56.0,925.0,48.0,30.0,2.0,7.0,20.0,16.0,2.0,11.0,0.0,2.0,3.0,18.0,22.0,1.5,16.0,2.0,0.0,1.0,4.0,0.27,4.0,0.0,0.0,0.0,0.0,46.0,28.0,25.0,17.0,4.0,27.0,6.0,21.0,23.0,29.0,0.0,1157.0,49.0,316.0,723.0,131.0,3.0,1157.0,575.0,21.0,11.0,1.0,787.0,18.0,11.0,0.0,38.0,16.0,0.0,0.0,0.0,0.0,99.0,11.0,9.0,55.0
Amir Rrahmani,xk KVX,DF,Napoli,29,1994,30.0,30.0,2600.0,3.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.1,0.1,2.2,2.2,0.08,0.08,28.9,8.0,0.0,32.0,0.28,0.12,0.38,0.09,0.8,0.8,2028.0,2255.0,89.9,39408.0,13051.0,735.0,776.0,94.7,1008.0,1067.0,94.5,260.0,366.0,71.0,14.0,153.0,3.0,0.0,113.0,2153.0,97.0,72.0,0.0,45.0,4.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,43.0,1.49,34.0,0.0,4.0,1.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,33.0,27.0,17.0,14.0,2.0,24.0,10.0,14.0,20.0,90.0,0.0,2477.0,209.0,973.0,1399.0,116.0,40.0,2477.0,1557.0,19.0,15.0,1.0,1792.0,7.0,6.0,0.0,19.0,7.0,2.0,0.0,1.0,0.0,140.0,79.0,46.0,63.2
Ruan,br BRA,DF,Sassuolo,24,1999,26.0,16.0,1516.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.03,0.03,16.8,2.0,0.0,28.6,0.12,0.0,0.0,0.07,-0.5,-0.5,593.0,698.0,85.0,11580.0,3616.0,190.0,218.0,87.2,327.0,367.0,89.1,66.0,91.0,72.5,4.0,22.0,3.0,0.0,33.0,636.0,62.0,33.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,10.0,9.0,0.53,7.0,0.0,0.0,1.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,25.0,15.0,11.0,10.0,4.0,18.0,15.0,3.0,24.0,68.0,2.0,853.0,128.0,460.0,359.0,43.0,16.0,853.0,418.0,8.0,4.0,0.0,457.0,6.0,2.0,1.0,23.0,12.0,0.0,1.0,1.0,0.0,80.0,34.0,27.0,55.7
Daniele Rugani,it ITA,DF,Juventus,29,1994,17.0,13.0,1187.0,2.0,0.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0.15,0.15,1.6,1.6,0.12,0.12,13.2,2.0,0.0,25.0,0.15,0.25,1.0,0.3,0.4,0.4,564.0,636.0,88.7,10905.0,3696.0,163.0,176.0,92.6,355.0,378.0,93.9,44.0,70.0,62.9,3.0,54.0,1.0,0.0,46.0,611.0,24.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,0.91,9.0,0.0,2.0,0.0,2.0,0.15,1.0,0.0,1.0,0.0,0.0,11.0,9.0,7.0,3.0,1.0,11.0,4.0,7.0,9.0,42.0,0.0,738.0,69.0,329.0,373.0,40.0,12.0,738.0,451.0,2.0,4.0,0.0,501.0,3.0,2.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,44.0,25.0,24.0,51.0
Matteo Ruggeri,it ITA,DF,Atalanta,21,2002,34.0,28.0,2449.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,0.5,0.5,0.02,0.02,27.2,4.0,0.0,33.3,0.15,0.0,0.0,0.04,-0.5,-0.5,1250.0,1562.0,80.0,19172.0,6806.0,697.0,780.0,89.4,462.0,560.0,82.5,68.0,148.0,45.9,24.0,86.0,31.0,23.0,142.0,1343.0,218.0,8.0,0.0,9.0,101.0,10.0,1.0,4.0,0.0,200.0,1.0,33.0,64.0,2.35,56.0,4.0,1.0,0.0,11.0,0.4,9.0,2.0,0.0,0.0,0.0,29.0,15.0,14.0,7.0,8.0,46.0,4.0,42.0,23.0,44.0,0.0,1799.0,57.0,488.0,787.0,539.0,25.0,1799.0,862.0,55.0,40.0,5.0,1116.0,29.0,10.0,0.0,21.0,9.0,2.0,0.0,1.0,0.0,171.0,49.0,36.0,57.6
