player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Volnei Feltes,br BRA,DF,Estoril,23,2000,21.0,17.0,1472.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,0.5,0.5,0.03,0.03,16.4,4.0,3.0,33.3,0.24,0.0,0.0,0.04,-0.5,-0.5,727.0,917.0,79.3,14594.0,5511.0,270.0,302.0,89.4,350.0,408.0,85.8,101.0,179.0,56.4,5.0,57.0,8.0,2.0,62.0,768.0,144.0,39.0,3.0,11.0,19.0,1.0,1.0,0.0,0.0,104.0,5.0,10.0,17.0,1.04,13.0,1.0,3.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,19.0,15.0,10.0,9.0,0.0,21.0,14.0,7.0,21.0,55.0,2.0,1074.0,95.0,454.0,519.0,106.0,10.0,1074.0,546.0,13.0,14.0,0.0,617.0,11.0,6.0,0.0,20.0,5.0,0.0,0.0,1.0,1.0,81.0,27.0,19.0,58.7
Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,26,1997,29.0,28.0,2437.0,1.0,1.0,0.0,0.0,5.0,0.0,0.04,0.04,0.07,0.04,0.07,1.1,1.1,0.04,0.04,27.1,4.0,0.0,23.5,0.15,0.06,0.25,0.07,-0.1,-0.1,984.0,1284.0,76.6,19730.0,8420.0,340.0,412.0,82.5,480.0,571.0,84.1,151.0,246.0,61.4,10.0,106.0,7.0,5.0,114.0,1222.0,54.0,47.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,7.0,8.0,20.0,30.0,1.11,23.0,1.0,6.0,0.0,1.0,0.04,0.0,0.0,1.0,0.0,0.0,52.0,39.0,29.0,22.0,1.0,35.0,11.0,24.0,26.0,115.0,0.0,1570.0,146.0,684.0,782.0,114.0,36.0,1570.0,706.0,25.0,17.0,1.0,861.0,16.0,4.0,0.0,34.0,10.0,0.0,0.0,0.0,1.0,144.0,124.0,58.0,68.1
Martim Fernandes,pt POR,DF,Porto,17,2006,4.0,4.0,256.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,181.0,82.9,2304.0,682.0,79.0,89.0,88.8,60.0,67.0,89.6,8.0,17.0,47.1,2.0,12.0,3.0,1.0,13.0,151.0,29.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,27.0,1.0,3.0,7.0,2.46,6.0,0.0,0.0,0.0,2.0,0.7,1.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,3.0,1.0,2.0,0.0,2.0,5.0,7.0,0.0,216.0,4.0,59.0,111.0,50.0,2.0,216.0,89.0,7.0,8.0,1.0,128.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,85.7
Mateus Fernandes,pt POR,MF,Estoril,19,2004,28.0,25.0,2233.0,1.0,2.0,0.0,0.0,6.0,0.0,0.04,0.08,0.12,0.04,0.12,0.3,0.3,0.01,0.01,24.8,6.0,1.0,42.9,0.24,0.07,0.17,0.02,0.7,0.7,1109.0,1381.0,80.3,20302.0,5985.0,481.0,554.0,86.8,465.0,544.0,85.5,134.0,216.0,62.0,39.0,113.0,20.0,9.0,132.0,1242.0,136.0,61.0,5.0,16.0,90.0,59.0,29.0,22.0,0.0,11.0,3.0,27.0,92.0,3.71,58.0,18.0,2.0,7.0,11.0,0.44,9.0,1.0,1.0,0.0,0.0,79.0,46.0,28.0,40.0,11.0,44.0,6.0,38.0,25.0,16.0,2.0,1651.0,32.0,327.0,974.0,377.0,19.0,1651.0,919.0,62.0,41.0,4.0,1103.0,38.0,22.0,0.0,51.0,70.0,1.0,0.0,0.0,0.0,150.0,17.0,13.0,56.7
Mateus Fernandes,pt POR,FW,Sporting CP,19,2004,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,47.0,0.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,3.0,5.0,0.0,8.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Rafael Fernandes,pt POR,DF,Arouca,21,2002,11.0,8.0,744.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,0.03,8.3,1.0,0.0,50.0,0.12,0.0,0.0,0.12,-0.2,-0.2,379.0,420.0,90.2,6872.0,2498.0,144.0,151.0,95.4,204.0,214.0,95.3,30.0,45.0,66.7,3.0,25.0,0.0,0.0,27.0,410.0,10.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.97,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,8.0,2.0,2.0,6.0,5.0,1.0,9.0,31.0,0.0,496.0,50.0,245.0,231.0,26.0,5.0,496.0,280.0,5.0,8.0,0.0,343.0,2.0,0.0,1.0,10.0,5.0,1.0,0.0,0.0,0.0,29.0,22.0,12.0,64.7
Roger Fernandes,gw GNB,"MF,FW",Braga,17,2005,14.0,7.0,672.0,2.0,7.0,0.0,0.0,1.0,0.0,0.27,0.94,1.21,0.27,1.21,3.5,3.5,0.46,0.46,7.5,10.0,0.0,50.0,1.34,0.1,0.2,0.17,-1.5,-1.5,206.0,283.0,72.8,3411.0,805.0,96.0,108.0,88.9,81.0,103.0,78.6,19.0,44.0,43.2,16.0,10.0,18.0,12.0,23.0,254.0,28.0,2.0,0.0,3.0,45.0,6.0,2.0,2.0,0.0,20.0,1.0,11.0,39.0,5.22,28.0,0.0,6.0,2.0,9.0,1.2,7.0,0.0,2.0,0.0,0.0,16.0,11.0,3.0,10.0,3.0,10.0,0.0,10.0,4.0,3.0,0.0,396.0,4.0,50.0,147.0,208.0,35.0,396.0,236.0,30.0,17.0,8.0,252.0,25.0,9.0,0.0,8.0,10.0,7.0,0.0,0.0,0.0,41.0,7.0,8.0,46.7
Rúben Fernandes,pt POR,DF,Gil Vicente FC,37,1986,29.0,29.0,2610.0,1.0,0.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,0.7,0.7,0.02,0.02,29.0,2.0,0.0,20.0,0.07,0.1,0.5,0.07,0.3,0.3,1471.0,1733.0,84.9,31121.0,10653.0,329.0,377.0,87.3,951.0,1004.0,94.7,183.0,320.0,57.2,7.0,73.0,4.0,0.0,87.0,1641.0,85.0,80.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,21.0,0.72,19.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,18.0,11.0,15.0,3.0,0.0,33.0,19.0,14.0,35.0,117.0,1.0,1969.0,198.0,1125.0,809.0,45.0,25.0,1969.0,1150.0,6.0,3.0,0.0,1369.0,6.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,112.0,61.0,36.0,62.9
Vasco Fernandes,pt POR,DF,Casa Pia,36,1986,10.0,10.0,900.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-0.1,-0.1,359.0,441.0,81.4,6837.0,2823.0,139.0,157.0,88.5,176.0,195.0,90.3,41.0,76.0,53.9,3.0,18.0,1.0,0.0,18.0,413.0,25.0,25.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.8,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,1.0,0.0,13.0,6.0,7.0,10.0,29.0,0.0,514.0,57.0,302.0,197.0,17.0,9.0,514.0,250.0,2.0,0.0,0.0,325.0,4.0,1.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,60.0,11.0,15.0,42.3
Vasco Fernandes,pt POR,DF,Chaves,36,1986,17.0,17.0,1516.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.02,0.02,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-0.3,-0.3,505.0,592.0,85.3,9612.0,4136.0,187.0,203.0,92.1,263.0,283.0,92.9,51.0,95.0,53.7,2.0,39.0,1.0,0.0,43.0,543.0,47.0,44.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.65,9.0,2.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,26.0,14.0,18.0,7.0,1.0,17.0,9.0,8.0,9.0,68.0,1.0,736.0,121.0,424.0,295.0,19.0,7.0,736.0,337.0,4.0,2.0,0.0,424.0,4.0,2.0,0.0,17.0,15.0,2.0,0.0,0.0,0.0,44.0,22.0,17.0,56.4
