player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,19.0,15.0,1243.0,2.0,3.0,0.0,0.0,4.0,0.0,0.14,0.22,0.36,0.14,0.36,1.0,1.0,0.07,0.07,13.8,6.0,0.0,54.5,0.43,0.18,0.33,0.09,1.0,1.0,809.0,962.0,84.1,11736.0,3617.0,480.0,524.0,91.6,270.0,313.0,86.3,32.0,64.0,50.0,26.0,66.0,25.0,11.0,83.0,851.0,107.0,22.0,1.0,3.0,65.0,12.0,6.0,2.0,0.0,73.0,4.0,20.0,42.0,3.04,37.0,3.0,1.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,26.0,13.0,12.0,11.0,3.0,14.0,4.0,10.0,21.0,20.0,0.0,1109.0,56.0,256.0,546.0,316.0,37.0,1109.0,693.0,47.0,30.0,13.0,735.0,20.0,6.0,0.0,22.0,17.0,5.0,0.0,0.0,1.0,90.0,12.0,14.0,46.2
Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,23.0,15.0,1392.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.06,0.06,0.0,0.06,0.1,0.1,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.1,-0.1,729.0,832.0,87.6,11952.0,3843.0,323.0,350.0,92.3,344.0,374.0,92.0,40.0,72.0,55.6,6.0,29.0,3.0,0.0,37.0,778.0,51.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,11.0,0.71,11.0,0.0,0.0,0.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,22.0,14.0,20.0,2.0,0.0,25.0,18.0,7.0,23.0,76.0,0.0,1005.0,185.0,556.0,420.0,31.0,8.0,1005.0,567.0,7.0,5.0,0.0,625.0,5.0,3.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,70.0,36.0,18.0,66.7
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,27.0,24.0,2055.0,11.0,4.0,1.0,1.0,3.0,0.0,0.48,0.18,0.66,0.44,0.61,9.1,8.3,0.4,0.36,22.8,33.0,12.0,40.2,1.45,0.12,0.3,0.1,1.9,1.7,700.0,909.0,77.0,11150.0,3226.0,353.0,405.0,87.2,253.0,301.0,84.1,61.0,134.0,45.5,54.0,48.0,45.0,7.0,93.0,759.0,144.0,54.0,7.0,6.0,107.0,71.0,30.0,23.0,3.0,5.0,6.0,20.0,110.0,4.82,54.0,27.0,7.0,10.0,11.0,0.48,8.0,0.0,0.0,2.0,0.0,35.0,17.0,4.0,18.0,13.0,27.0,2.0,25.0,11.0,6.0,0.0,1274.0,11.0,121.0,522.0,658.0,103.0,1273.0,789.0,68.0,61.0,43.0,887.0,77.0,48.0,0.0,27.0,48.0,11.0,1.0,1.0,0.0,135.0,12.0,24.0,33.3
Łukasz Fabiański,pl POL,GK,West Ham,38,1985,10.0,7.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,239.0,66.9,5259.0,3852.0,19.0,19.0,100.0,70.0,70.0,100.0,70.0,146.0,47.9,0.0,8.0,0.0,0.0,1.0,161.0,77.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,260.0,222.0,255.0,5.0,0.0,0.0,260.0,140.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,5.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.34,0.34,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08,-0.2,-0.2,19.0,26.0,73.1,251.0,114.0,9.0,12.0,75.0,7.0,7.0,100.0,1.0,3.0,33.3,0.0,2.0,1.0,0.0,5.0,25.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,3.0,15.0,19.0,3.0,37.0,24.0,4.0,4.0,0.0,31.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,19.0,3.0,521.0,2.0,0.0,0.0,0.0,2.0,0.0,0.35,0.0,0.35,0.35,0.35,3.4,3.4,0.59,0.59,5.8,11.0,0.0,42.3,1.9,0.08,0.18,0.13,-1.4,-1.4,178.0,210.0,84.8,2332.0,518.0,117.0,124.0,94.4,41.0,50.0,82.0,10.0,11.0,90.9,6.0,14.0,7.0,0.0,28.0,203.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,23.0,3.96,16.0,0.0,5.0,0.0,3.0,0.52,2.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,8.0,0.0,8.0,3.0,3.0,0.0,300.0,4.0,27.0,141.0,135.0,43.0,300.0,212.0,16.0,5.0,9.0,238.0,15.0,10.0,0.0,6.0,13.0,2.0,0.0,0.0,0.0,22.0,1.0,10.0,9.1
Felipe,br BRA,DF,Nott'ham Forest,34,1989,7.0,4.0,375.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.03,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.04,-0.1,-0.1,183.0,215.0,85.1,3654.0,1412.0,61.0,70.0,87.1,97.0,105.0,92.4,21.0,33.0,63.6,2.0,10.0,0.0,0.0,6.0,206.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.97,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,3.0,0.0,4.0,1.0,3.0,4.0,12.0,0.0,257.0,22.0,133.0,116.0,9.0,4.0,257.0,147.0,1.0,1.0,0.0,156.0,3.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,20.0,14.0,6.0,70.0
Evan Ferguson,ie IRL,FW,Brighton,18,2004,27.0,15.0,1367.0,6.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,0.4,0.4,4.6,4.6,0.3,0.3,15.2,20.0,0.0,60.6,1.32,0.18,0.3,0.14,1.4,1.4,244.0,303.0,80.5,3028.0,349.0,156.0,180.0,86.7,54.0,63.0,85.7,11.0,15.0,73.3,6.0,11.0,4.0,0.0,15.0,269.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,22.0,1.45,15.0,0.0,1.0,3.0,1.0,0.07,0.0,0.0,0.0,1.0,0.0,14.0,6.0,4.0,7.0,3.0,10.0,3.0,7.0,2.0,8.0,0.0,448.0,13.0,64.0,204.0,185.0,45.0,448.0,286.0,13.0,9.0,5.0,336.0,40.0,31.0,0.0,24.0,25.0,5.0,1.0,0.0,0.0,25.0,13.0,18.0,41.9
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,35.0,35.0,3118.0,10.0,8.0,4.0,5.0,9.0,0.0,0.29,0.23,0.52,0.17,0.4,10.0,6.1,0.29,0.18,34.6,35.0,11.0,38.9,1.01,0.07,0.17,0.07,0.0,-0.1,1590.0,2179.0,73.0,28404.0,10273.0,766.0,876.0,87.4,532.0,698.0,76.2,229.0,432.0,53.0,114.0,187.0,89.0,10.0,297.0,1872.0,284.0,64.0,30.0,22.0,223.0,151.0,46.0,55.0,8.0,22.0,23.0,62.0,210.0,6.06,143.0,48.0,9.0,1.0,19.0,0.55,12.0,3.0,2.0,0.0,0.0,68.0,38.0,27.0,25.0,16.0,49.0,6.0,43.0,27.0,50.0,2.0,2585.0,96.0,414.0,1069.0,1126.0,105.0,2580.0,1367.0,86.0,61.0,23.0,1715.0,48.0,35.0,0.0,41.0,28.0,13.0,0.0,0.0,0.0,200.0,21.0,25.0,45.7
Enzo Fernández,ar ARG,MF,Chelsea,22,2001,28.0,26.0,2209.0,3.0,2.0,1.0,2.0,7.0,0.0,0.12,0.08,0.2,0.08,0.16,6.2,4.6,0.25,0.19,24.5,13.0,2.0,28.9,0.53,0.04,0.15,0.1,-3.2,-2.6,1574.0,1862.0,84.5,28776.0,8415.0,674.0,742.0,90.8,661.0,744.0,88.8,196.0,273.0,71.8,32.0,177.0,43.0,4.0,210.0,1756.0,89.0,52.0,21.0,28.0,45.0,22.0,4.0,7.0,0.0,5.0,17.0,30.0,82.0,3.34,69.0,5.0,3.0,5.0,7.0,0.29,5.0,1.0,0.0,1.0,0.0,50.0,22.0,22.0,18.0,10.0,36.0,13.0,23.0,17.0,28.0,0.0,2128.0,67.0,442.0,1209.0,488.0,47.0,2126.0,1315.0,52.0,46.0,8.0,1675.0,29.0,24.0,0.0,33.0,31.0,4.0,1.0,1.0,0.0,122.0,21.0,23.0,47.7
John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,4.0,1.0,92.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,72.5,408.0,88.0,21.0,27.0,77.8,7.0,9.0,77.8,1.0,2.0,50.0,2.0,1.0,1.0,0.0,3.0,36.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.91,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,3.0,10.0,29.0,11.0,1.0,49.0,19.0,2.0,1.0,0.0,27.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,22.2
